"","","South","South"
"Year","Time","pv","gas"
"2016",477.00,0.00,6509.65
"2016",478.00,0.00,6335.46
"2016",479.00,0.00,6002.74
"2016",480.00,0.00,5683.85
"2016",481.00,0.00,5257.12
"2016",482.00,0.00,4695.83
"2016",483.00,0.00,4360.35
"2016",484.00,0.00,4113.35
"2016",485.00,0.00,3962.20
"2016",486.00,0.00,3929.02
"2016",487.00,0.00,3934.55
"2016",488.00,64.72,3942.64
"2016",489.00,770.47,3111.54
"2016",490.00,2309.75,1790.70
"2016",491.00,3311.30,1211.27
"2016",492.00,3724.94,1099.00
"2016",493.00,3835.62,1161.59
"2016",494.00,3811.53,1157.12
"2016",495.00,3534.48,1212.97
"2016",496.00,2885.22,1747.95
"2016",497.00,1548.23,2934.70
"2016",498.00,362.25,4239.57
"2016",499.00,18.31,5414.85
"2016",500.00,0.00,6032.23
"2016",501.00,0.00,6203.66
"2016",502.00,0.00,6175.09
"2016",503.00,0.00,5992.60
"2016",504.00,0.00,5552.97
"2016",505.00,0.00,4940.07
"2016",506.00,0.00,4524.41
"2016",507.00,0.00,4184.32
"2016",508.00,0.00,4048.83
"2016",509.00,0.00,4021.18
"2016",510.00,0.00,4001.83
"2016",511.00,0.00,4111.50
"2016",512.00,67.68,4546.13
"2016",513.00,818.33,4615.75
"2016",514.00,2397.44,3924.19
"2016",515.00,3380.25,3394.83
"2016",516.00,3766.35,3163.57
"2016",517.00,3880.83,3137.57
"2016",518.00,3847.75,2658.22
"2016",519.00,3631.40,3119.73
"2016",520.00,3053.84,3830.92
"2016",521.00,1704.55,5134.13
"2016",522.00,413.14,6479.92
"2016",523.00,22.03,7047.07
"2016",524.00,0.00,7547.44
"2016",525.00,0.00,7549.28
"2016",526.00,0.00,7350.20
"2016",527.00,0.00,6995.36
"2016",528.00,0.00,6519.79
"2016",529.00,0.00,5717.95
"2016",530.00,0.00,5157.58
"2016",531.00,0.00,4834.08
"2016",532.00,0.00,4578.78
"2016",533.00,0.00,4449.75
"2016",534.00,0.00,4471.87
"2016",535.00,0.00,4573.25
"2016",536.00,70.93,4899.55
"2016",537.00,820.04,4939.38
"2016",538.00,2324.99,4280.52
"2016",539.00,3268.58,3833.70
"2016",540.00,3639.13,3564.52
"2016",541.00,3718.53,3592.04
"2016",542.00,3695.86,3129.92
"2016",543.00,3530.07,3429.35
"2016",544.00,3008.32,4101.33
"2016",545.00,1755.67,5281.16
"2016",546.00,438.82,6574.98
"2016",547.00,23.21,7258.79
"2016",548.00,0.00,7845.13
"2016",549.00,0.00,7848.82
"2016",550.00,0.00,7630.38
"2016",551.00,0.00,7292.14
"2016",552.00,0.00,6758.50
"2016",553.00,0.00,5860.81
"2016",554.00,0.00,5247.91
"2016",555.00,0.00,4891.22
"2016",556.00,0.00,4732.70
"2016",557.00,0.00,4563.12
"2016",558.00,0.00,4571.41
"2016",559.00,0.00,4698.60
"2016",560.00,70.11,5031.25
"2016",561.00,754.36,5121.19
"2016",562.00,2213.02,4559.30
"2016",563.00,3096.41,4061.17
"2016",564.00,3460.03,3762.06
"2016",565.00,3526.63,3702.83
"2016",566.00,3418.13,3305.34
"2016",567.00,3195.01,3714.64
"2016",568.00,2644.67,4382.03
"2016",569.00,1516.57,5463.12
"2016",570.00,403.49,6628.74
"2016",571.00,24.68,7360.54
"2016",572.00,0.00,7967.71
"2016",573.00,0.00,7999.05
"2016",574.00,0.00,7733.61
"2016",575.00,0.00,7393.52
"2016",576.00,0.00,6916.10
"2016",577.00,0.00,6012.88
"2016",578.00,0.00,5326.25
"2016",579.00,0.00,4964.96
"2016",580.00,0.00,4803.67
"2016",581.00,0.00,4651.59
"2016",582.00,0.00,4650.67
"2016",583.00,0.00,4752.05
"2016",584.00,62.11,5079.81
"2016",585.00,678.22,5251.71
"2016",586.00,2077.26,4684.00
"2016",587.00,3017.99,4113.78
"2016",588.00,3369.29,3951.42
"2016",589.00,3415.98,3948.96
"2016",590.00,3333.16,3557.13
"2016",591.00,3040.93,4001.44
"2016",592.00,2446.11,4671.83
"2016",593.00,1366.02,5744.55
"2016",594.00,381.67,6753.79
"2016",595.00,27.58,7317.09
"2016",596.00,0.00,8004.58
"2016",597.00,0.00,8071.86
"2016",598.00,0.00,7834.99
"2016",599.00,0.00,7468.17
"2016",600.00,0.00,7011.03
"2016",601.00,0.00,6094.91
"2016",602.00,0.00,5335.46
"2016",603.00,0.00,4945.60
"2016",604.00,0.00,4830.40
"2016",605.00,0.00,4732.70
"2016",606.00,0.00,4701.36
"2016",607.00,0.00,4784.31
"2016",608.00,63.56,5123.51
"2016",609.00,667.97,5353.21
"2016",610.00,1859.90,5157.58
"2016",611.00,2735.06,4592.10
"2016",612.00,3151.06,4281.17
"2016",613.00,3194.87,4314.78
"2016",614.00,3099.95,3931.36
"2016",615.00,2902.92,4243.59
"2016",616.00,2487.00,4839.24
"2016",617.00,1476.30,5728.28
"2016",618.00,432.89,6703.49
"2016",619.00,31.25,7300.52
"2016",620.00,0.00,8019.32
"2016",621.00,0.00,8071.86
"2016",622.00,0.00,7873.70
"2016",623.00,0.00,7517.02
"2016",624.00,0.00,7074.63
"2016",625.00,0.00,6259.88
"2016",626.00,0.00,5516.11
"2016",627.00,0.00,5151.13
"2016",628.00,0.00,4827.63
"2016",629.00,0.00,4705.97
"2016",630.00,0.00,4599.98
"2016",631.00,0.00,4561.27
"2016",632.00,68.75,4621.55
"2016",633.00,605.93,4017.10
"2016",634.00,1698.16,3521.18
"2016",635.00,2489.47,3359.36
"2016",636.00,2864.06,3205.04
"2016",637.00,2903.19,3296.78
"2016",638.00,2721.81,3400.74
"2016",639.00,2355.90,3585.09
"2016",640.00,1710.04,4183.02
"2016",641.00,768.65,5000.91
"2016",642.00,162.50,5666.05
"2016",643.00,9.40,6351.87
"2016",644.00,0.00,7364.95
"2016",645.00,0.00,7454.35
"2016",646.00,0.00,7279.23
"2016",647.00,0.00,6921.63
"2016",648.00,0.00,6569.56
"2016",649.00,0.00,5984.31
"2016",650.00,0.00,5270.02
"2016",651.00,0.00,4768.64
"2016",652.00,0.00,4439.61
"2016",653.00,0.00,4344.68
"2016",654.00,0.00,4334.54
"2016",655.00,0.00,4305.97
"2016",656.00,55.00,4258.35
"2016",657.00,597.54,3656.82
"2016",658.00,1742.97,2756.55
"2016",659.00,2630.13,2480.45
"2016",660.00,2986.94,2605.66
"2016",661.00,3071.12,2858.81
"2016",662.00,2973.71,3044.70
"2016",663.00,2662.68,3108.72
"2016",664.00,2223.43,3504.65
"2016",665.00,1254.26,4317.15
"2016",666.00,363.85,5368.85
"2016",667.00,28.39,6351.31
"2016",668.00,0.00,7010.11
"2016",669.00,0.00,7140.06
"2016",670.00,0.00,7153.89
"2016",671.00,0.00,6866.33
"2016",672.00,0.00,6406.43
"2016",673.00,0.00,5588.92
"2016",674.00,0.00,4987.08
"2016",675.00,0.00,4607.35
"2016",676.00,0.00,4464.50
"2016",677.00,0.00,4383.39
"2016",678.00,0.00,4399.06
"2016",679.00,0.00,4468.18
"2016",680.00,47.06,4955.69
"2016",681.00,525.32,5311.52
"2016",682.00,1594.80,5257.71
"2016",683.00,2435.48,4982.00
"2016",684.00,2800.75,4813.04
"2016",685.00,2940.26,4802.56
"2016",686.00,2951.58,4364.52
"2016",687.00,2835.45,4667.74
"2016",688.00,2460.46,5156.10
"2016",689.00,1511.05,6051.13
"2016",690.00,442.14,7095.15
"2016",691.00,35.30,7603.38
"2016",692.00,0.00,8169.55
"2016",693.00,0.00,8169.55
"2016",694.00,0.00,7951.12
"2016",695.00,0.00,7597.20
"2016",696.00,0.00,7081.08
"2016",697.00,0.00,6206.43
"2016",698.00,0.00,5478.32
"2016",699.00,0.00,5106.89
"2016",700.00,0.00,4862.65
"2016",701.00,0.00,4753.90
"2016",702.00,0.00,4747.45
"2016",703.00,0.00,4841.46
"2016",704.00,98.66,5096.71
"2016",705.00,1012.69,4978.07
"2016",706.00,2653.22,4293.30
"2016",707.00,3535.03,3824.38
"2016",708.00,3876.23,3614.07
"2016",709.00,3931.12,3626.46
"2016",710.00,3844.41,3224.69
"2016",711.00,3620.75,3642.82
"2016",712.00,3109.52,4294.13
"2016",713.00,1877.76,5432.81
"2016",714.00,560.10,6765.21
"2016",715.00,43.56,7412.63
"2016",716.00,0.00,8068.17
"2016",717.00,0.00,8133.61
"2016",718.00,0.00,7936.37
"2016",719.00,0.00,7611.03
"2016",720.00,0.00,7107.81
"2016",721.00,0.00,6142.83
"2016",722.00,0.00,5423.94
"2016",723.00,0.00,5051.59
"2016",724.00,0.00,4807.35
"2016",725.00,0.00,4727.17
"2016",726.00,0.00,4702.29
"2016",727.00,0.00,4827.63
"2016",728.00,101.30,5123.56
"2016",729.00,960.62,4977.61
"2016",730.00,2489.53,4397.08
"2016",731.00,3358.12,3903.60
"2016",732.00,3670.91,3695.88
"2016",733.00,3638.87,3723.32
"2016",734.00,3473.07,3371.14
"2016",735.00,3184.35,3795.35
"2016",736.00,2606.62,4550.03
"2016",737.00,1390.53,5674.88
"2016",738.00,325.91,6714.62
"2016",739.00,20.59,7145.28
"2016",740.00,0.00,7907.80
"2016",741.00,0.00,8004.58
"2016",742.00,0.00,7840.52
"2016",743.00,0.00,7523.47
"2016",744.00,0.00,7105.04
"2016",745.00,0.00,6114.26
"2016",746.00,0.00,5467.26
"2016",747.00,0.00,5039.61
"2016",748.00,0.00,4882.01
"2016",749.00,0.00,4802.75
"2016",750.00,0.00,4782.47
"2016",751.00,0.00,4851.59
"2016",752.00,51.25,5191.12
"2016",753.00,489.36,5521.68
"2016",754.00,1517.38,5397.80
"2016",755.00,2368.28,4899.90
"2016",756.00,2791.40,4513.64
"2016",757.00,2943.92,4369.42
"2016",758.00,2903.70,3896.28
"2016",759.00,2664.53,4286.59
"2016",760.00,2205.09,4845.57
"2016",761.00,1388.11,5575.92
"2016",762.00,434.18,6553.81
"2016",763.00,40.73,7079.06
"2016",764.00,0.00,7858.95
"2016",765.00,0.00,7980.61
"2016",766.00,0.00,7817.48
"2016",767.00,0.00,7496.74
"2016",768.00,0.00,7021.17
"2016",769.00,0.00,6089.38
"2016",770.00,0.00,5397.21
"2016",771.00,0.00,5021.18
"2016",772.00,0.00,4823.02
"2016",773.00,0.00,4703.21
"2016",774.00,0.00,4697.68
"2016",775.00,0.00,4814.73
"2016",776.00,74.94,5153.61
"2016",777.00,694.42,5310.16
"2016",778.00,2067.43,4769.40
"2016",779.00,2996.94,4207.64
