"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",315.00,0.00,43891.33,0.00,4346.53,0.00,11288.53
"2016",316.00,0.00,44764.71,0.00,4108.74,0.00,11281.77
"2016",317.00,0.00,44258.36,0.00,4058.97,0.00,11385.30
"2016",318.00,0.00,42740.26,0.00,3996.30,0.00,11718.40
"2016",319.00,0.00,44074.84,0.00,4001.83,0.00,11953.97
"2016",320.00,184.48,46199.22,62.01,3892.81,0.00,12286.31
"2016",321.00,831.82,48374.77,801.28,3163.68,0.00,12575.15
"2016",322.00,2651.68,49352.83,2286.55,1866.43,89.65,12852.36
"2016",323.00,4553.42,49811.83,3255.92,1380.01,118.22,12984.33
"2016",324.00,5728.25,48049.94,3681.65,1209.57,177.33,12985.24
"2016",325.00,8428.18,43213.13,3784.91,1386.50,209.84,12864.96
"2016",326.00,6908.22,42903.69,3745.02,1449.43,143.83,12969.97
"2016",327.00,3800.77,45431.77,3511.96,1441.01,39.41,13386.49
"2016",328.00,333.26,49834.16,2877.75,2062.33,1.97,14042.85
"2016",329.00,0.00,55960.21,1562.08,3260.94,0.00,14250.38
"2016",330.00,0.00,58565.00,346.90,4631.88,0.00,14289.40
"2016",331.00,0.00,57756.95,14.59,5858.20,0.00,14112.34
"2016",332.00,0.00,55475.96,0.00,6265.41,0.00,13791.25
"2016",333.00,0.00,54693.85,0.00,6389.84,0.00,13272.10
"2016",334.00,0.00,54940.78,0.00,6404.58,0.00,12754.45
"2016",335.00,0.00,51421.29,0.00,6190.76,0.00,12196.29
"2016",336.00,0.00,48589.75,0.00,5779.70,0.00,11864.69
"2016",337.00,0.00,46979.41,0.00,5002.74,0.00,11767.91
"2016",338.00,0.00,46421.17,0.00,4573.25,0.00,11748.41
"2016",339.00,0.00,46649.85,0.00,4281.09,0.00,11763.41
"2016",340.00,0.00,47775.93,0.00,4150.21,0.00,11974.22
"2016",341.00,0.00,50215.46,0.00,4084.78,0.00,12575.90
"2016",342.00,0.00,57659.91,0.00,4115.19,0.00,14060.58
