"","","Mid","Mid","Mid","Mid","South","South","South","South","North","North","North","North"
"Year","Time","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2"
"2016",213.00,0.00,62618.71,0.00,0.00,0.00,7442.37,0.00,0.00,0.00,13676.47,0.00,0.00
"2016",214.00,0.00,60564.48,0.00,0.00,0.00,7211.03,0.00,0.00,0.00,12736.45,0.00,0.00
"2016",215.00,0.00,55391.41,0.00,0.00,0.00,6860.80,0.00,0.00,0.00,11861.69,0.00,0.00
"2016",216.00,0.00,51168.59,0.00,0.00,0.00,6461.73,0.00,0.00,0.00,11299.78,0.00,0.00
"2016",217.00,0.00,48945.25,0.00,0.00,0.00,5676.47,0.00,0.00,0.00,11040.95,0.00,0.00
"2016",218.00,0.00,48053.61,0.00,0.00,0.00,5080.16,0.00,0.00,0.00,10954.68,0.00,0.00
"2016",219.00,0.00,48604.16,0.00,0.00,0.00,4721.64,0.00,0.00,0.00,10923.17,0.00,0.00
"2016",220.00,0.00,50110.73,0.00,0.00,0.00,4490.30,0.00,0.00,0.00,11054.46,0.00,0.00
"2016",221.00,0.00,52856.76,0.00,0.00,0.00,4403.67,0.00,0.00,0.00,11612.62,0.00,0.00
"2016",222.00,0.00,59462.41,0.00,0.00,0.00,4439.61,0.00,0.00,0.00,13104.05,0.00,0.00
"2016",223.00,0.00,66311.15,0.00,0.00,0.00,4514.27,0.00,0.00,0.00,14667.51,0.00,0.00
"2016",224.00,0.00,68088.67,0.00,0.00,52.26,4833.43,0.00,0.00,0.00,15129.64,0.00,0.00
"2016",225.00,4357.38,62833.89,0.00,0.00,714.65,5026.34,0.00,0.00,0.00,14922.58,0.00,0.00
